text,label
"@MsDanneh @Obey_Ervin15 Tell her to screw herself. I'm gonna have a netflix and chill on my own. Y u do dis ervin :(",negative
"@subharrie ohh no :(( and yeah i hope she comes back soon too",negative
"@MadniTahir I am. I've accepted the offer..but im desperate to take the year out.   :(",negative
"Come back :(",negative
"Snapchat me - AmargoLonnard #snapchat #snapchat #kikhorny #snapme #tagsforlikes #batalladelosgallos #webcamsex :( http://t.co/3S9LHaFrsU",negative
"UGH I CANT STREAM TMR I HAVE DUTY :(",negative
"@madrigalandreaa u've gone too far :(",negative
"@uhhAileeny What about her alien thing :(((",negative
"@Ni_All_Is_Bae aww I don't really wanna get my hopes up but I wish that he would :((",negative
"@malikm0ney sorka no :((",negative
"@fxnno_ i knew u would be sad :( were having a funeral i was gonna text u but i have no phone",negative
"Sunny :( i feel so bad.... http://t.co/17tca0uhKp",negative
"So nonexistent wowza :(",negative
"@izgzb @aishahyussofff back off fah she's mine :-(",negative
"@DIMPLEDJAI taylor why did you crop yourself out :(((((((((((((((",negative
"@nickjdrake Boo on both counts :-(",negative
"new guitar :(",negative
"@PinkCloud_RP so when will i get my jonghyun hyung? :( please predict it :(",negative
"I hope SJ will be nominated soon but no SJ vs INFINITE pls :(((((",negative
"Yeah dudes, keep calm and brace yourselves :-( https://t.co/ZnOjT3v9Gq",negative
"@Mr_FRML sir plus 4 please :((",negative
"THEY LOOKED SO SHOCK OMGGGG :((( YALL DESERVE IT :((((",negative
"Whenever I would spend the night we would smoke and watch a movie but he would always end up falling asleep on me :(",negative
"We were 1 point close to grand finals! :( whyyy",negative
"@muhammadskates :( that's a long time",negative
"@evanquick Oh, that must be so annoying Evan :( Do the texts give the option to opt out?",negative
"Who's doing giveaways for muster goods? :( or any merchs",negative
"@wendyykid ah too bad :(",negative
"People are looking at me funny because I'm drinking savanna with a straw :(",negative
"Good bye stage :((((",negative
"@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON :(",negative
"I can't sleep :( someone talk to me",negative
"yeah :(",negative
"@_Birexus yes sadly :(.",negative
"@ClaireClaire05 Very :(",negative
"@The_Strypes whens the album coming? :(",negative
"The last of my chocolate has been consumed. :(",negative
"ugh i have werk in the morning too :-(",negative
"@Deedee_50Fly foreals :( a wesen uwesiti mj 😂😩",negative
"@crazynovely I will if I catch him online long enough - haha!  He's being very annoying!!  :(",negative
"Bosen :(",negative
"Dying for some egg benny :(",negative
"@Michael5SOS Sometimes I hate you :((",negative
"@Mark23Baracael baby followback huhu :(",negative
"@fkluca but no ones as cute as u so :(",negative
"@Tinkkza You're gonna watch this shit and understand how badly you scared me! >:( https://t.co/YcGudITQgx",negative
"I miss Al, Katie, Zaz and Amy a lot :((",negative
"I liked a @YouTube video http://t.co/2JcBiswDW9 More subs plz :(",negative
"@LittleMix @SonyMusicNL Can u make a diary while you're all there please :((",negative
"@neikmat Sorry :(",negative
"@twyodor @gkjohn :-( I don't read most of these rehash websites that have mushroomed. A good piece may be by exception &amp; reaches one anyway.",negative
"@daddyksoo and yes its been a while vicky omg :-(((((",negative
"@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 

Hahah : (",negative
"@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly >:( http://t.co/83cUgt7qQ3",negative
"So Lonely :( http://t.co/VM4N0n8Bkw",negative
"can't go back to sleep :((",negative
"i wanna go on xbox for netflix but am already too comfy in bed :(",negative
"@baileymac02 miss youu :(",negative
"sigh i feel bad for our girls :(",negative
"@oH_So_EhmTee lol! I love sweet potato fries :(",negative
"@_Birexus guess y'all ugly asf HUH :(",negative
"@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back :( mara im sure you can help me neh",negative
"aww i've got a fever :( but #bad4thwin <3",negative
"Poor bb :(",negative
"@UrsulaWJ @OwenWinterMYP I'm not able to go! :( It's the Association of Green Councillors conference this weekend...",negative
"My skype account is out of order. I think it's been hacked. So if you were in my contacts I'm sorry :( I'm creating a new one soon.",negative
"@selenagomez i miss your tweet spree oh :(",negative
"Yes na! As sholong reject my proposal :( "@elzzika: Gee U don fly go gidi? "@Gatlinho: The way i'm being pampered in this lagos ehn....""",negative
"@isxbe i guess im arresting my girlfriend :((",negative
"@prophdog_ @attepate hes such a nice person idk why anybody would say that to him :(",negative
"You know when a song just disappears from your phone and iTunes? I've lost Dazed and Confused :(",negative
"FEVER. :-(",negative
""Do you think they survived???"
"Well, they did find all the missing bodies in fragments, so no. But it would've been nice if they did." :(",negative
"@DareToAttar im being forced to go :-(",negative
"Horrible weather to be going to work in :(",negative
"@okayshesaid wish that both of us could change this :(",negative
"walao kbs never show encore :(",negative
"Sending. Finally!!!!!!!!!!!!!! :(",negative
"Being ill is the worst :(((",negative
"its not the same. :(((((",negative
"Hope #DJDerek is found safe &amp; well had many fun times at his gigs, absolute legend :(",negative
"@qtbatooty_ yeah and it's like why do you need to wait till saturday to give us homework pa :((((((( WHAT IF U MADE PLANS 4 DA WEEKEND????",negative
"Greek Tragedy is such a cute song :((((",negative
"@bammyxoxo @stffnkthx @breeyanuh16 same :(",negative
"Raining on me today :( 

Gym it is then 💪🏻🐒",negative
"@cutelilawley whats wrong? :(",negative
"Oh god!!! I'm strucked by the pain... Cant take it anymore!!! :(",negative
"@LittleMix come to Belgium :(",negative
"Fabian Delph has fallen :(
@BLUEARMY_IND @MCFC",negative
"@rosicky1987 WHERE U BEEN HIDING BABY :((",negative
"I'm draking silently so they can't hear it :(",negative
"Rest in peace mo :(",negative
"@MHSScho not much chance of game tonight :( #t20blast",negative
"@OL_EYY ahhh u see? U wouldn't wake up :(",negative
"Mumma! Im on 7% :( @LMCDark_Angel",negative
"@sarahhardman8 I hope so :(",negative
